Document Count,Similarity Measure,ROUGE-1,ROUGE-2,ROUGE-L
100,common_tokens,0.3239990636587175,0.130603819804528,0.2547113995790236
100,cosine,0.31424126158958593,0.11881073960112573,0.24477550166951212
100,jaccard,0.31042488620311803,0.11314115298890001,0.24024177322889745
200,common_tokens,0.3239990636587175,0.130603819804528,0.2547113995790236
200,cosine,0.31424126158958593,0.11881073960112573,0.24477550166951212
200,jaccard,0.31042488620311803,0.11314115298890001,0.24024177322889745
300,common_tokens,0.3239990636587175,0.130603819804528,0.2547113995790236
300,cosine,0.31424126158958593,0.11881073960112573,0.24477550166951212
300,jaccard,0.31042488620311803,0.11314115298890001,0.24024177322889745
500,common_tokens,0.3239990636587175,0.130603819804528,0.2547113995790236
500,cosine,0.31424126158958593,0.11881073960112573,0.24477550166951212
500,jaccard,0.31042488620311803,0.11314115298890001,0.24024177322889745
